i40e_aqc_opc_configure_vsi_bw_limit,i40e_aqc_configure_vsi_bw_limit
i40e_aqc_opc_configure_vsi_ets_sla_bw_limit,i40e_aqc_tx_sched_ind
i40e_aqc_opc_configure_vsi_tc_bw,i40e_aqc_tx_sched_ind
i40e_aqc_opc_query_vsi_bw_config,i40e_aqc_tx_sched_ind|i40e_aqc_query_vsi_bw_config_resp
i40e_aqc_opc_query_vsi_ets_sla_config,i40e_aqc_tx_sched_ind|i40e_aqc_query_vsi_ets_sla_config_resp
i40e_aqc_opc_configure_switching_comp_bw_limit,i40e_aqc_configure_switching_comp_bw_limit
i40e_aqc_opc_enable_switching_comp_ets,i40e_aqc_tx_sched_ind
i40e_aqc_opc_modify_switching_comp_ets,i40e_aqc_tx_sched_ind
i40e_aqc_opc_disable_switching_comp_ets,i40e_aqc_tx_sched_ind
i40e_aqc_opc_configure_switching_comp_ets_bw_limit,i40e_aqc_tx_sched_ind
i40e_aqc_opc_configure_switching_comp_bw_config,i40e_aqc_tx_sched_ind|i40e_aqc_query_switching_comp_bw_config_resp
i40e_aqc_opc_query_switching_comp_ets_config,i40e_aqc_tx_sched_ind|i40e_aqc_query_switching_comp_bw_config_resp
i40e_aqc_opc_query_port_ets_config,i40e_aqc_tx_sched_ind
i40e_aqc_opc_query_switching_comp_bw_config,i40e_aqc_tx_sched_ind|i40e_aqc_query_switching_comp_bw_config_resp
i40e_aqc_opc_suspend_port_tx,i40e_aq_desc
i40e_aqc_opc_resume_port_tx,i40e_aq_desc
i40e_aqc_opc_configure_partition_bw,i40e_aq_desc
i40e_aqc_opc_query_hmc_resource_profile,i40e_aq_get_set_hmc_resource_profile
i40e_aqc_opc_set_hmc_resource_profile,i40e_aq_get_set_hmc_resource_profile
i40e_aqc_opc_get_phy_abilities,i40e_aq_desc
i40e_aqc_opc_set_phy_config,i40e_aq_set_phy_config
i40e_aqc_opc_set_mac_config,i40e_aq_set_mac_config
i40e_aqc_opc_set_link_restart_an,i40e_aqc_set_link_restart_an
i40e_aqc_opc_get_link_status,i40e_aqc_get_link_status
i40e_aqc_opc_set_phy_int_mask,i40e_aqc_set_phy_int_mask
i40e_aqc_opc_get_local_advt_reg,i40e_aqc_an_advt_reg
i40e_aqc_opc_set_local_advt_reg,i40e_aqc_an_advt_reg
i40e_aqc_opc_get_partner_advt,i40e_aqc_an_advt_reg
i40e_aqc_opc_set_lb_modes,i40e_aqc_set_lb_mode
i40e_aqc_opc_get_phy_wol_caps,i40e_aq_desc
i40e_aqc_opc_set_phy_debug,i40e_aqc_set_phy_debug
i40e_aqc_opc_upload_ext_phy_fm,i40e_aq_desc
i40e_aqc_opc_nvm_read,i40e_aqc_nvm_update
i40e_aqc_opc_nvm_erase,i40e_aqc_nvm_update
i40e_aqc_opc_nvm_update,i40e_aqc_nvm_update
i40e_aqc_opc_nvm_config_read,i40e_aqc_nvm_config_read
i40e_aqc_opc_nvm_config_write,i40e_aqc_nvm_config_write
i40e_aqc_opc_send_msg_to_pf,i40e_aqc_pf_vf_message
i40e_aqc_opc_send_msg_to_vf,i40e_aqc_pf_vf_message
i40e_aqc_opc_send_msg_to_peer,i40e_aqc_pf_vf_message
i40e_aqc_opc_alternate_write,i40e_aqc_alternate_write
i40e_aqc_opc_alternate_write_indirect,i40e_aqc_alternate_ind_write
i40e_aqc_opc_alternate_read,i40e_aqc_alternate_write
i40e_aqc_opc_alternate_read_indirect,i40e_aqc_alternate_ind_write
i40e_aqc_opc_alternate_write_done,i40e_aqc_alternate_write_done
i40e_aqc_opc_alternate_set_mode,i40e_aqc_alternate_set_mode
i40e_aqc_opc_alternate_clear_port,i40e_aq_desc
i40e_aqc_opc_lldp_get_mib,i40e_aqc_lldp_get_mib
i40e_aqc_opc_lldp_update_mib,i40e_aqc_lldp_update_mib
i40e_aqc_opc_lldp_add_tlv,i40e_aqc_lldp_add_tlv
i40e_aqc_opc_lldp_update_tlv,i40e_aqc_lldp_update_tlv
i40e_aqc_opc_lldp_delete_tlv,i40e_aqc_lldp_add_tlv
i40e_aqc_opc_lldp_stop,i40e_aqc_lldp_stop
i40e_aqc_opc_lldp_start,i40e_aqc_lldp_start
i40e_aqc_opc_lldp_set_local_mib,i40e_aqc_lldp_set_local_mib
i40e_aqc_opc_lldp_stop_start_spec_agent,i40e_aqc_lldp_stop_start_specific_agent
i40e_aqc_opc_add_udp_tunnel,i40e_aqc_add_udp_tunnel
i40e_aqc_opc_del_udp_tunnel,i40e_aqc_remove_udp_tunnel
i40e_aqc_opc_set_rss_key,i40e_aqc_get_set_rss_key
i40e_aqc_opc_set_rss_lut,i40e_aqc_get_set_rss_lut
i40e_aqc_opc_get_rss_key,i40e_aqc_get_set_rss_key
i40e_aqc_opc_get_rss_lut,i40e_aqc_get_set_rss_lut
i40e_aqc_opc_event_lan_overflow,i40e_aqc_lan_overflow
i40e_aqc_opc_oem_parameter_change,i40e_aqc_oem_param_change
i40e_aqc_opc_oem_device_status_change,i40e_aqc_oem_state_change
i40e_aqc_opc_oem_ocsd_initialize,i40e_aqc_opc_oem_ocsd_initialize
i40e_aqc_opc_oem_ocbb_initialize,i40e_aqc_opc_oem_ocbb_initialize
i40e_aqc_opc_debug_read_reg,i40e_aqc_debug_reg_read_write
i40e_aqc_opc_debug_write_reg,i40e_aqc_debug_reg_read_write
i40e_aqc_opc_debug_modify_reg,i40e_aqc_debug_modify_reg
i40e_aqc_opc_debug_dump_internals,i40e_aqc_debug_dump_internals
i40e_aqc_opc_get_cee_dcb_cfg,i40e_aq_desc
